name,front_left_paw_x,front_left_paw_y,front_left_knee_x,front_left_knee_y,front_left_elbow_x,front_left_elbow_y,rear_left_paw_x,rear_left_paw_y,rear_left_knee_x,rear_left_knee_y,rear_left_elbow_x,rear_left_elbow_y,front_right_paw_x,front_right_paw_y,front_right_knee_x,front_right_knee_y,front_right_elbow_x,front_right_elbow_y,rear_right_paw_x,rear_right_paw_y,rear_right_knee_x,rear_right_knee_y,rear_right_elbow_x,rear_right_elbow_y,tail_start_x,tail_start_y,tail_end_x,tail_end_y,left_ear_base_x,left_ear_base_y,right_ear_base_x,right_ear_base_y,nose_x,nose_y,chin_x,chin_y,left_ear_tip_x,left_ear_tip_y,right_ear_tip_x,right_ear_tip_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,withers_x,withers_y,throat_x,throat_y,class
n02085620_10074.jpg,0.6952,0.965,0.66066,0.824,0.66817,0.677,0.0,0.0,0.0,0.0,0.0,0.0,0.28529,0.974,0.37087,0.861,0.22823,0.678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61461,0.12067,0.2958,0.119,0.49449,0.4,0.0,0.0,0.79878,0.04678,0.1137,0.0682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
n02085620_10131.jpg,0.0,0.0,0.73502,0.90034,0.73165,0.64646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44979,0.89966,0.4211,0.68081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57595,0.14848,0.32911,0.18283,0.50633,0.33939,0.51139,0.41919,0.71669,0.0362,0.13676,0.12733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
n02085620_1073.jpg,0.0,0.0,0.58744,0.966,0.68792,0.77467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30435,0.922,0.19227,0.75333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83478,0.172,0.4058,0.158,0.62126,0.352,0.62464,0.447,0.88142,0.1038,0.37934,0.05588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
n02085620_10976.jpg,0.69876,0.85744,0.63043,0.80096,0.64286,0.67975,0.69876,0.77376,0.0,0.0,0.0,0.0,0.43996,0.91185,0.45549,0.8292,0.44824,0.69766,0.33696,0.81198,0.0,0.0,0.33385,0.68182,0.0,0.0,0.70807,0.70248,0.63043,0.30888,0.47671,0.33368,0.65321,0.45868,0.62836,0.48485,0.72393,0.23113,0.39246,0.24455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
n02085620_11140.jpg,0.791,0.56133,0.71,0.55333,0.626,0.47867,0.0,0.0,0.0,0.0,0.0,0.0,0.784,0.60711,0.68867,0.62489,0.59,0.56533,0.138,0.648,0.096,0.49867,0.24267,0.60267,0.132,0.40267,0.079,0.51333,0.828,0.18933,0.709,0.304,0.85267,0.46756,0.786,0.50133,0.88851,0.10933,0.74722,0.1518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
n02085620_11818.jpg,0.57422,0.63733,0.52667,0.593,0.55556,0.54333,0.0,0.0,0.0,0.0,0.0,0.0,0.49467,0.665,0.51111,0.58733,0.48133,0.543,0.48533,0.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70844,0.268,0.51822,0.27667,0.63822,0.33533,0.63289,0.37933,0.78702,0.19569,0.40525,0.23248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
n02085620_11948.jpg,0.87467,0.73563,0.0,0.0,0.0,0.0,0.155,0.50539,0.0,0.0,0.0,0.0,0.69467,0.88218,0.624,0.8222,0.0,0.0,0.06067,0.71767,0.021,0.52263,0.022,0.34483,0.002,0.07543,0.0,0.0,0.796,0.27874,0.604,0.3908,0.83733,0.56897,0.853,0.6347,0.72435,0.04342,0.44489,0.22635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
n02085620_1235.jpg,0.52933,0.76,0.50733,0.69778,0.508,0.6,0.54,0.68978,0.53667,0.63289,0.53067,0.55556,0.40933,0.78222,0.41933,0.72356,0.412,0.61156,0.447,0.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.33511,0.43933,0.36178,0.528,0.40889,0.51933,0.43733,0.547,0.30933,0.39867,0.30844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
n02085620_12718.jpg,0.86987,0.93,0.77477,0.834,0.0,0.0,0.64865,0.78267,0.0,0.0,0.0,0.0,0.35035,0.94467,0.4039,0.839,0.0,0.0,0.53654,0.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67968,0.23933,0.2983,0.32467,0.60761,0.57667,0.62763,0.611,0.74217,0.10324,0.10501,0.2496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
n02085620_13151.jpg,0.584,0.97917,0.57067,0.90675,0.6,0.72222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44133,0.89286,0.45667,0.70734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68267,0.19246,0.50333,0.17758,0.61733,0.30556,0.59333,0.35218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
