name,front_left_paw_x,front_left_paw_y,front_left_paw_v,front_left_knee_x,front_left_knee_y,front_left_knee_v,front_left_elbow_x,front_left_elbow_y,front_left_elbow_v,rear_left_paw_x,rear_left_paw_y,rear_left_paw_v,rear_left_knee_x,rear_left_knee_y,rear_left_knee_v,rear_left_elbow_x,rear_left_elbow_y,rear_left_elbow_v,front_right_paw_x,front_right_paw_y,front_right_paw_v,front_right_knee_x,front_right_knee_y,front_right_knee_v,front_right_elbow_x,front_right_elbow_y,front_right_elbow_v,rear_right_paw_x,rear_right_paw_y,rear_right_paw_v,rear_right_knee_x,rear_right_knee_y,rear_right_knee_v,rear_right_elbow_x,rear_right_elbow_y,rear_right_elbow_v,tail_start_x,tail_start_y,tail_start_v,tail_end_x,tail_end_y,tail_end_v,left_ear_base_x,left_ear_base_y,left_ear_base_v,right_ear_base_x,right_ear_base_y,right_ear_base_v,nose_x,nose_y,nose_v,chin_x,chin_y,chin_v,left_ear_tip_x,left_ear_tip_y,left_ear_tip_v,right_ear_tip_x,right_ear_tip_y,right_ear_tip_v,left_eye_x,left_eye_y,left_eye_v,right_eye_x,right_eye_y,right_eye_v,withers_x,withers_y,withers_v,throat_x,throat_y,throat_v,class
n02085620_10074.jpg,0.6952,0.965,2.0,0.66066,0.824,2.0,0.66817,0.677,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28529,0.974,2.0,0.37087,0.861,2.0,0.22823,0.678,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61461,0.12067,2.0,0.2958,0.119,2.0,0.49449,0.4,2.0,0.0,0.0,0.0,0.79878,0.04678,2.0,0.1137,0.0682,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
n02085620_10131.jpg,0.0,0.0,0.0,0.73502,0.90034,2.0,0.73165,0.64646,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44979,0.89966,2.0,0.4211,0.68081,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57595,0.14848,2.0,0.32911,0.18283,2.0,0.50633,0.33939,2.0,0.51139,0.41919,2.0,0.71669,0.0362,2.0,0.13676,0.12733,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
n02085620_1073.jpg,0.0,0.0,0.0,0.58744,0.966,2.0,0.68792,0.77467,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30435,0.922,2.0,0.19227,0.75333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83478,0.172,2.0,0.4058,0.158,2.0,0.62126,0.352,2.0,0.62464,0.447,2.0,0.88142,0.1038,2.0,0.37934,0.05588,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
n02085620_10976.jpg,0.69876,0.85744,2.0,0.63043,0.80096,2.0,0.64286,0.67975,2.0,0.69876,0.77376,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43996,0.91185,2.0,0.45549,0.8292,2.0,0.44824,0.69766,2.0,0.33696,0.81198,2.0,0.0,0.0,0.0,0.33385,0.68182,2.0,0.0,0.0,0.0,0.70807,0.70248,2.0,0.63043,0.30888,2.0,0.47671,0.33368,2.0,0.65321,0.45868,2.0,0.62836,0.48485,2.0,0.72393,0.23113,2.0,0.39246,0.24455,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
n02085620_11140.jpg,0.791,0.56133,2.0,0.71,0.55333,2.0,0.626,0.47867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.784,0.60711,2.0,0.68867,0.62489,2.0,0.59,0.56533,2.0,0.138,0.648,2.0,0.096,0.49867,2.0,0.24267,0.60267,2.0,0.132,0.40267,2.0,0.079,0.51333,2.0,0.828,0.18933,2.0,0.709,0.304,2.0,0.85267,0.46756,2.0,0.786,0.50133,2.0,0.88851,0.10933,2.0,0.74722,0.1518,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
n02085620_11818.jpg,0.57422,0.63733,2.0,0.52667,0.593,2.0,0.55556,0.54333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49467,0.665,2.0,0.51111,0.58733,2.0,0.48133,0.543,2.0,0.48533,0.586,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70844,0.268,2.0,0.51822,0.27667,2.0,0.63822,0.33533,2.0,0.63289,0.37933,2.0,0.78702,0.19569,2.0,0.40525,0.23248,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
n02085620_11948.jpg,0.87467,0.73563,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155,0.50539,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69467,0.88218,2.0,0.624,0.8222,2.0,0.0,0.0,0.0,0.06067,0.71767,2.0,0.021,0.52263,2.0,0.022,0.34483,2.0,0.002,0.07543,0.0,0.0,0.0,0.0,0.796,0.27874,2.0,0.604,0.3908,2.0,0.83733,0.56897,2.0,0.853,0.6347,2.0,0.72435,0.04342,2.0,0.44489,0.22635,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
n02085620_1235.jpg,0.52933,0.76,2.0,0.50733,0.69778,2.0,0.508,0.6,2.0,0.54,0.68978,2.0,0.53667,0.63289,2.0,0.53067,0.55556,2.0,0.40933,0.78222,2.0,0.41933,0.72356,2.0,0.412,0.61156,2.0,0.447,0.696,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.33511,2.0,0.43933,0.36178,2.0,0.528,0.40889,2.0,0.51933,0.43733,2.0,0.547,0.30933,2.0,0.39867,0.30844,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
n02085620_12718.jpg,0.86987,0.93,2.0,0.77477,0.834,2.0,0.0,0.0,0.0,0.64865,0.78267,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35035,0.94467,2.0,0.4039,0.839,2.0,0.0,0.0,0.0,0.53654,0.772,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67968,0.23933,2.0,0.2983,0.32467,2.0,0.60761,0.57667,2.0,0.62763,0.611,2.0,0.74217,0.10324,2.0,0.10501,0.2496,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
n02085620_13151.jpg,0.584,0.97917,2.0,0.57067,0.90675,2.0,0.6,0.72222,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44133,0.89286,2.0,0.45667,0.70734,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68267,0.19246,2.0,0.50333,0.17758,2.0,0.61733,0.30556,2.0,0.59333,0.35218,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
